,AK,AL,AR,AZ,CA,CO,CT,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
2008-09-01,94.170846,263.16137699999996,344.491926,515.489562,1712.707358,217.74270100000007,33.41827500000001,12.848168000000001,200.97480800000002,0.009429000000000002,76.243672,687.5208320000002,13.944600000000003,28.309755000000003,0.984315,91.83535,52.559,47.17206099999999,40.25346,320.9525139999999,149.23685199999997,25.537978000000003,208.13071100000002,662.0563560000002,222.37977299999994,104.534,76.06081100000002,75.66830800000001,1.822153,22.443525,163.72737599999996,1987.9601309999998,29.292424999999998,272.44453899999996,2020.8420219999998,60.59661400000001,0.299046,88.12217199999999,234.362,332.69629100000003,63.49501300000001,48.013876999999994,104.15263800000004,37.075731000000005,4207.612159,118.88016700000003,45.930068,60.02957400000001
2008-10-01,100.042561,258.964407,488.320798,514.586185,1097.850551000001,185.904832,32.475311000000005,12.052772999999998,207.48591100000002,0.419572,64.311005,439.3525099999999,9.193725,30.783012000000003,0.8302630000000001,59.762181000000005,60.314,69.83414000000002,41.334624000000005,281.0891979999999,52.47315,58.751893,104.64638599999998,560.1465489999999,204.99001599999997,94.512,74.86880500000001,79.37766199999999,1.8653950000000001,18.334575,95.614302,2034.6081890000003,26.437814,233.907859,2135.484008,62.22660899999999,0.290608,87.70371699999998,254.996,337.657558,25.922279000000003,39.22351600000001,77.58411600000002,84.17923300000001,4570.905215000001,110.65465499999996,38.633404,49.039385999999986
2008-11-01,83.022816,239.8979,410.26165999999995,516.064511,786.904389,3.442903000000001,44.072923,10.120512000000002,188.90189800000002,2.522144,35.586512,380.109834,7.103378,47.3182,0.45942600000000006,58.178107999999995,35.693,101.82764400000002,69.582503,355.162425,64.43352200000001,44.52830599999999,61.97699,608.099122,100.30524899999998,91.109,33.217765,118.68409499999999,2.1438249999999996,18.230614000000003,99.21697099999999,2306.8164420000003,44.884896,122.385266,2487.8946160000014,109.15676199999999,0.39438999999999996,85.41296,95.941,208.88678200000004,12.832263000000001,39.00110999999999,37.57057399999999,141.88108500000004,5077.167560000002,167.985328,62.783513000000006,48.761322
2008-12-01,128.679429,1169.003147,213.43101900000002,489.603195,854.1936140000001,164.70758400000003,50.060617,23.382244,183.927718,9.772718,59.488271,454.079491,11.314119,45.289717,0.768001,243.94354400000003,56.08,119.90874799999996,258.471761,408.085736,118.24318200000003,65.54747900000001,45.629802,929.580531,411.54038499999996,117.795,72.236326,131.773426,2.392083,22.099596000000002,90.872134,2406.638818000001,31.705198,79.793505,2903.462965999999,325.48254899999995,0.44797200000000004,120.35755000000002,250.583,855.5656960000001,49.274919000000004,47.278101,78.501088,146.04115299999995,6270.076751000001,150.58329200000003,134.687776,59.109666
2009-01-01,89.470075,1282.8802200000002,254.25515900000002,626.086044,1088.0241560000002,160.71797400000003,44.240258000000004,17.419314999999997,209.628829,8.599019,64.058589,813.300926,9.519585999999999,44.767848,0.844164,324.487999,100.881,95.14077499999999,152.40356,411.4755129999999,86.247482,44.31035700000001,97.215005,643.5164510000001,503.26507999999995,131.512,28.606435,117.19785099999997,2.624782,21.022662000000004,132.651676,2263.071223000001,40.98333100000001,130.661561,3758.2961530000002,213.73395999999997,0.411194,154.77267900000004,275.148953,1050.9517879999999,11.005615000000002,64.803429,133.521638,115.34154499999997,7328.708830000001,114.56678400000001,152.954724,74.99148900000002
2009-02-01,96.92014000000002,541.4146290000001,449.9683809999999,489.799594,1445.5509840000002,147.98793000000003,37.08130400000001,10.999402,168.04081800000003,10.494031000000001,51.25069800000001,568.7023689999999,10.844555999999999,29.92434,0.6753810000000001,248.669331,87.382,76.77970100000002,154.72125599999998,370.0493860000001,125.192909,45.706131,100.39248899999998,572.398339,203.04119999999992,121.106,22.886858000000004,80.12969100000001,2.432083,17.09036,138.229524,2079.366558,22.507886000000003,172.944204,2598.5601439999996,219.39713499999993,0.344654,82.532567,176.526873,551.4349579999998,7.29775,52.681897000000006,64.245365,114.167946,4975.273613999999,77.970702,129.953405,60.964273
2009-03-01,102.47683299999998,1167.135914,256.548162,657.796826,2288.929150000001,197.9766560000001,49.755182,17.06813,244.93155900000002,20.152350000000002,55.204025,569.7054530000003,13.3668,37.802021999999994,0.7274780000000001,378.564843,106.346,133.14839099999998,209.851307,395.341085,216.14727300000007,91.24790700000003,95.153133,568.388266,353.401946,82.01,24.652282,165.89080099999998,3.0021639999999996,19.812746,193.402249,2542.1878089999996,34.402688999999995,167.437977,2949.2376470000013,301.910361,0.462452,186.820756,258.195787,642.0256209999999,70.827687,61.073797,112.832096,184.54879800000006,5254.813061999999,105.70223500000002,168.36232,70.67550000000001
2009-04-01,105.03931,1002.763967,412.28705099999996,618.471032,2713.532511,146.089512,54.844104,15.852143,249.108533,18.587227,74.901213,1367.6491739999997,14.700953000000002,33.889452,0.987047,357.25274899999994,125.916,119.37453099999998,200.62199299999997,391.4901430000001,340.48501500000003,84.078677,249.792103,652.6317469999999,280.546803,72.537,33.448392000000005,231.217007,2.758217,26.617144000000003,285.401973,2329.099691,33.860612,410.19709299999994,3456.137561,285.6332780000001,0.509752,171.645373,268.34717,507.4465039999999,92.987952,82.048694,114.85994700000003,171.27746400000004,7199.509914000001,104.58295100000001,163.842755,94.947966
2009-05-01,79.22685599999998,1299.716069,233.31598200000002,548.377594,3714.0683769999996,228.61748499999993,48.94863000000001,17.644882000000003,216.19779500000004,0.252912,92.57752599999999,1222.4186389999998,13.349844000000001,39.080157,1.2199849999999999,345.62847700000003,130.16,94.83491100000002,179.505752,378.069459,130.287881,120.13290900000001,297.460518,1273.007885,469.521158,116.546,41.34204600000001,190.25622600000005,2.8679680000000003,30.097614999999998,234.94968500000002,2451.6603170000003,39.535409,506.31643399999996,3633.663976000001,262.38260499999996,0.454956,151.39518900000002,313.975978,987.7676080000001,154.49145800000005,92.77742500000001,107.25891200000001,166.36653899999996,8500.968891000002,110.02698100000003,183.56781,107.36341
2009-06-01,104.15773600000001,527.9490190000001,407.201505,504.884875,3358.514270000002,213.69627300000002,37.24990999999999,19.260002,223.22118200000003,6.088223000000001,99.53246700000001,1379.2565849999994,12.99531,48.86238899999999,1.311638,233.64772200000002,130.985,92.105072,161.430541,313.638208,86.32548499999996,88.95235700000005,191.408023,1496.995399,554.0078589999999,140.373,44.447891000000006,115.79801500000002,2.626436,32.451154,211.138315,2246.465374999999,51.900791,396.719702,3731.1896659999993,237.55046799999997,0.346221,173.03781099999998,458.414957,759.2910720000003,96.88837800000002,100.03232700000001,180.17942500000004,121.62261599999998,9436.681201000003,134.29737000000003,152.506426,115.758892
2009-07-01,103.323673,376.23986699999995,413.975278,606.765228,3700.5846339999985,198.100862,50.63303100000001,11.447969,235.13278800000003,10.527018,94.608712,1379.5244519999992,11.388428,52.794183000000004,1.2467519999999999,166.67314499999998,98.002,125.521548,95.962405,383.5892520000001,36.934049999999985,50.579975999999995,85.806273,965.3101210000001,243.500172,147.91,42.24910500000001,189.28265499999995,2.6676540000000006,28.713428,216.25926900000002,2356.9238379999983,55.994417,198.626563,2154.163447,150.05029899999994,0.47061200000000003,110.357629,527.861936,532.22296,87.81612299999999,88.51059599999999,90.806312,160.07746500000005,6412.262608,140.86576599999998,90.057894,102.42577700000001
2009-08-01,113.24935400000001,499.02013400000004,319.503269,569.8475649999999,3018.1069839999996,65.300366,44.84801699999999,13.163429,233.19019799999998,3.632408,94.790184,1056.3675119999998,10.632875,46.803352,1.249144,193.929575,84.715,99.31376699999998,152.403558,397.90106899999995,41.951017,38.869904999999996,53.00133,655.227667,270.072207,152.635,42.330145,132.96193799999998,2.6494400000000002,23.186943,233.63266900000002,2300.2965189999995,58.39255400000001,200.604265,1531.0382999999997,198.331929,0.41684200000000005,107.51787399999998,564.752018,773.010665,71.731935,71.47493,101.43815,92.833147,4522.103300999998,134.50733999999997,104.768919,82.711844
2009-09-01,91.092102,921.926964,262.408373,436.979059,2248.0518589999997,216.17131300000003,24.285906000000004,13.084251,279.720575,4.383814,99.584413,698.0422740000004,9.340226999999999,42.564468999999995,1.3123220000000002,189.269809,58.477,33.780729,64.612278,265.47397799999993,39.117473999999994,37.402297,58.323044,553.4296330000001,410.453525,134.917,44.471086,45.706723999999994,2.3277159999999997,17.620377,166.935554,2082.088897,39.958859999999994,293.902453,1824.0960140000002,98.32638,0.225727,96.51622199999998,615.0720130000001,761.0005299999999,34.85766500000001,54.31570500000001,98.07771499999998,35.144836,3626.3753509999997,108.84842800000001,55.78604,62.854941
2009-10-01,145.42185800000001,1516.7897439999997,307.94166799999994,394.55339999999995,1784.1865070000015,171.05282799999998,30.935764000000002,16.967544999999998,310.10801499999997,10.552677,100.132085,492.6749120000002,10.166808,50.501322,1.319539,295.05285599999996,90.194,91.11116099999997,141.188369,245.99527699999996,80.77642700000003,37.473213,254.586425,585.130777,485.14714200000003,118.321,44.715661,101.24332100000005,2.493695,16.580713000000003,219.675023,2159.921009999999,49.359210999999995,477.01910900000007,2047.928768,191.920507,0.287534,118.779725,427.526367,1159.7344890000002,78.181281,51.110882000000004,71.786999,66.20319599999999,4302.662165000001,131.11561,145.395403,59.146272
2009-11-01,135.404018,1494.943078,303.30853600000006,431.353073,1237.9020089999995,10.130814999999998,38.500538999999996,23.608571,340.259955,15.387335000000002,69.98220599999999,397.82784499999997,9.865323,42.919422,0.9222250000000001,248.367913,110.183,118.09313000000002,146.22438,278.93626,98.18374800000002,103.667146,230.65174000000002,627.2329540000001,714.471878,116.376,31.251727000000002,142.34192600000003,2.699757,16.606507,224.975531,2335.4406010000025,62.773562,426.22178099999996,2442.002309,211.99048799999997,0.357845,375.05869099999995,198.774106,1199.8150109999997,150.863747,51.190402000000006,154.85587199999998,111.651293,5214.330148000002,134.463308,116.09488800000001,59.238291999999994
2009-12-01,157.962455,1904.5933950000003,571.9926360000002,542.43071,1290.5848890000004,129.88198599999998,48.222945,31.686361,550.142663,3.991616,74.54288199999999,488.7937189999999,10.209290000000001,33.561044,0.982325,336.096581,113.11,121.87264400000001,229.843601,379.71893999999986,90.27723899999998,66.66667499999998,102.90291700000002,912.6707610000001,683.8275699999998,141.008,33.288372,168.46569499999993,2.930898,21.163351,203.343302,2468.584532,38.076677999999994,171.921858,2907.1988549999987,311.63817,0.448211,603.5707639999999,347.854842,1287.260794,171.707709,65.23710599999998,248.767159,146.590465,6159.0150779999985,97.04089500000002,182.636416,75.49334400000001
